Pos,Name,BV,SV,Team,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
M,Romeu,4.5,4.5,Southampton,79,2.058,77,2.256,76,2.213,75,1.769,73,2.266,73,1.764
M,Redmond,6.0,6.0,Southampton,38,1.391,38,1.619,37,1.546,42,1.316,40,1.739,43,1.372
F,Ings,8.0,8.0,Aston Villa,83,5.026,80,4.75,81,2.958,80,4.439,77,3.136,78,3.337
D,Stephens,4.5,4.5,Southampton,46,1.092,45,1.502,47,1.519,50,0.637,50,2.011,52,0.837
M,S.Armstrong,6.0,6.0,Southampton,55,1.918,55,2.228,58,2.327,55,1.644,52,2.186,58,1.759
D,Vestergaard,5.0,5.0,Leicester,14,0.466,17,0.772,12,0.336,4,0.152,2,0.103,3,0.137
M,Ward-Prowse,6.5,6.5,Southampton,86,3.139,83,3.743,83,3.703,80,2.423,79,3.75,77,2.402
D,Walker-Peters,5.0,5.0,Southampton,85,1.931,82,2.677,81,2.565,79,0.936,77,3.082,79,1.213
D,Bednarek,4.5,4.5,Southampton,75,1.586,76,2.316,75,2.221,76,0.82,73,2.716,72,1.029
F,Nlundulu,4.5,4.5,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
F,Adams,7.0,7.0,Southampton,81,3.116,78,3.66,76,3.58,76,2.472,76,3.646,74,2.451
M,Tella,5.0,5.0,Southampton,38,1.34,44,1.772,45,1.8,40,1.226,42,1.759,43,1.333
M,Smallbone,4.5,4.5,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
F,Obafemi,4.5,4.5,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
M,Diallo,4.5,4.5,Southampton,2,0.059,4,0.126,5,0.157,5,0.139,6,0.194,7,0.197
M,Djenepo,5.5,5.5,Southampton,40,1.38,37,1.471,39,1.537,43,1.292,42,1.729,42,1.289
D,Salisu,4.5,4.5,Southampton,60,1.346,64,2.044,64,1.986,61,0.725,64,2.475,62,0.948
G,Hart,4.5,4.5,Spurs,0,0,0,0,0,0,0,0,0,0,0,0
G,Lloris,5.5,5.5,Spurs,89,3.901,88,4.314,87,3.998,87,3.407,86,3.417,86,3.8
M,Sissoko,4.5,4.5,Spurs,8,0.278,6,0.243,6,0.22,8,0.262,8,0.272,7,0.27
D,Alderweireld,5.0,5.0,Spurs,0,0,0,0,0,0,0,0,0,0,0,0
M,Lamela,6.0,6.0,Spurs,0,0,0,0,0,0,0,0,0,0,0,0
F,Kane,12.4,12.4,Spurs,47,2.836,71,5.528,65,4.198,63,3.289,64,3.689,65,4.899
D,Aurier,5.0,5.0,Spurs,0,0,0,0,0,0,1,0.034,1,0.035,1,0.048
M,Son,10.0,10.0,Spurs,86,4.584,83,5.842,82,4.84,80,3.762,79,4.084,78,5.23
D,Doherty,5.0,5.0,Spurs,73,3.004,73,3.976,68,3.157,71,2.257,69,2.288,70,3.239
D,Dier,4.5,4.5,Spurs,76,2.948,72,3.673,71,3.13,67,2.013,65,2.023,69,2.961
M,Lucas Moura,6.5,6.5,Spurs,60,2.643,61,3.419,58,2.794,57,2.261,57,2.422,57,3.044
M,Dele,6.5,6.5,Spurs,64,2.841,62,3.505,62,3.016,59,2.359,60,2.572,58,3.154
D,Davies,4.5,4.5,Spurs,7,0.268,13,0.645,14,0.605,14,0.42,17,0.526,16,0.673
M,Højbjerg,5.0,5.0,Spurs,88,2.554,86,2.987,83,2.589,81,2.218,79,2.241,78,2.593
M,Winks,4.5,4.5,Spurs,5,0.159,6,0.215,6,0.199,5,0.153,7,0.218,6,0.207
D,Sánchez,4.5,4.5,Spurs,73,2.728,68,3.334,71,3.018,69,2.01,74,2.221,68,2.8
D,Sessegnon,4.5,4.5,Spurs,8,0.391,9,0.588,11,0.607,12,0.464,12,0.499,13,0.749
M,Bergwijn,6.0,6.0,Spurs,31,1.367,35,1.921,34,1.605,37,1.465,39,1.636,34,1.791
D,Reguilón,5.0,5.0,Spurs,84,3.436,81,4.431,80,3.708,80,2.505,77,2.522,77,3.545
D,Tanganga,4.5,4.5,Spurs,36,1.357,40,1.977,43,1.851,43,1.26,41,1.24,43,1.778
M,Lo Celso,6.0,6.0,Spurs,25,0.991,22,1.127,24,1.057,27,1.014,26,1.03,27,1.308
M,Skipp,4.5,4.5,Spurs,54,1.613,44,1.5,46,1.449,49,1.384,47,1.358,51,1.628
D,Rodon,4.5,4.5,Spurs,5,0.19,6,0.292,6,0.258,8,0.241,7,0.216,8,0.331
M,Ndombele,6.0,6.0,Spurs,29,1.058,48,2.053,45,1.736,46,1.532,49,1.672,48,1.971
G,Foster,4.0,4.0,Watford,0,0,0,0,0,0,2,0.081,0,0,2,0.073
D,Rose,4.5,4.5,Watford,47,1.265,45,0.852,46,1.658,46,1.46,44,1.624,46,0.987
M,Gosling,5.0,5.0,Watford,1,0.033,1,0.032,1,0.036,1,0.036,1,0.038,2,0.068
D,Cathcart,4.5,4.5,Watford,42,1.159,45,0.884,46,1.681,43,1.365,44,1.618,45,0.975
F,Deeney,5.5,5.5,Watford,33,1.37,25,0.998,24,1.197,27,1.318,24,1.306,25,1.145
M,Cleverley,5.0,5.0,Watford,73,2.412,71,2.178,68,2.618,65,2.446,65,2.692,67,2.311
D,Femenía,4.5,4.5,Watford,11,0.318,13,0.276,11,0.423,13,0.433,13,0.507,14,0.328
F,Gray,5.5,5.5,Watford,5,0.218,2,0.083,4,0.203,4,0.202,4,0.223,5,0.239
D,Kabasele,4.5,4.5,Watford,30,0.865,28,0.584,32,1.226,32,1.072,34,1.334,33,0.769
M,Chalobah,5.0,5.0,Watford,17,0.512,38,1.068,47,1.558,49,1.582,50,1.709,49,1.473
M,Hughes,5.0,5.0,Watford,0,0,0,0,1,0.036,0,0,0,0,1,0.034
D,Troost-Ekong,4.5,4.5,Watford,83,2.26,77,1.482,76,2.752,75,2.364,73,2.667,73,1.559
F,Perica,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0,0,0
G,Bachmann,4.5,4.5,Watford,88,3.382,87,3.105,87,3.749,86,3.455,87,3.745,86,3.123
D,Masina,4.5,4.5,Watford,42,1.219,44,0.917,42,1.65,42,1.433,44,1.784,43,1.02
M,Sema,5.5,5.5,Watford,61,2.078,55,1.77,55,2.14,53,2.047,53,2.237,55,1.966
M,Zinckernagel,5.5,5.5,Watford,0,0,0,0,0,0,0,0,0,0,0,0
F,Success,5.0,5.0,Watford,1,0.043,0,0,1,0.049,0,0,2,0.106,1,0.047
M,Dele-Bashiru,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0,0,0
F,Fletcher,5.0,5.0,Watford,0,0,0,0,0,0,0,0,0,0,0,0
D,Sierralta,4.5,4.5,Watford,35,0.983,39,0.772,36,1.34,40,1.303,39,1.483,39,0.868
M,Quina,4.5,4.5,Watford,7,0.242,8,0.263,6,0.231,7,0.262,7,0.282,7,0.249
D,Navarro,4.0,4.0,Watford,3,0.091,5,0.111,4,0.16,4,0.141,5,0.206,4,0.101
M,Sarr,6.0,6.0,Watford,88,3.456,86,3.086,86,4.126,84,3.918,82,4.309,82,3.443
D,Ngakia,4.5,4.5,Watford,62,1.75,58,1.172,61,2.302,60,1.969,59,2.277,59,1.331
D,Wilmot,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0,0,0
M,Hungbo,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0,0,0
M,Louza,5.5,5.5,Watford,42,1.398,36,1.14,31,1.186,35,1.29,34,1.371,36,1.245
F,João Pedro,5.5,5.5,Watford,0,0,0,0,0,0,0,0,0,0,0,0
M,Baah,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0,0,0
M,Noble,4.5,4.5,West Ham,3,0.102,8,0.374,10,0.403,12,0.451,13,0.519,18,0.801
G,Randolph,4.5,4.5,West Ham,0,0,0,0,0,0,0,0,0,0,0,0
G,Fabianski,5.0,5.0,West Ham,85,3.389,82,3.833,83,3.366,82,3.1,82,3.102,83,3.61
D,Ogbonna,5.0,5.0,West Ham,89,2.735,86,3.934,82,2.61,84,2.162,82,2.154,80,3.227
D,Reid,4.0,4.0,West Ham,0,0,0,0,0,0,0,0,0,0,0,0
D,Cresswell,5.5,5.5,West Ham,79,3.107,75,4.272,74,2.988,71,2.294,72,2.456,71,3.663
M,Yarmolenko,5.5,5.5,West Ham,22,1.068,24,1.334,27,1.324,29,1.275,31,1.475,31,1.719
F,Antonio,7.6,7.5,West Ham,84,4.501,78,4.807,76,4.164,76,3.719,75,4.125,74,4.628
D,Dawson,5.0,5.0,West Ham,84,2.781,83,4.053,81,2.78,79,2.191,77,2.216,76,3.352
D,Fredericks,4.5,4.5,West Ham,2,0.065,5,0.232,7,0.232,8,0.219,9,0.252,10,0.417
M,Lanzini,5.9,5.9,West Ham,13,0.573,16,0.803,18,0.814,20,0.842,20,0.913,22,1.105
D,Masuaku,4.5,4.5,West Ham,10,0.324,14,0.66,14,0.467,17,0.465,17,0.476,16,0.674
D,Coufal,5.0,5.0,West Ham,88,2.899,84,4.073,82,2.763,82,2.236,81,2.275,79,3.4
M,Benrahma,6.1,6.0,West Ham,80,3.831,77,4.331,76,3.702,74,3.209,73,3.506,72,4.021
M,Bowen,6.5,6.5,West Ham,78,3.621,76,4.14,76,3.61,74,3.157,73,3.429,72,3.924
M,Rice,5.0,5.0,West Ham,88,2.686,84,2.994,84,2.616,83,2.424,82,2.5,79,2.753
M,Soucek,6.0,6.0,West Ham,88,3.202,86,3.653,83,3.068,84,2.823,81,2.935,78,3.304
M,Fornals,6.0,6.0,West Ham,81,3.24,78,3.638,76,3.101,75,2.778,73,2.927,75,3.454
D,Diop,4.5,4.5,West Ham,5,0.157,9,0.4,14,0.446,15,0.396,16,0.427,22,0.891
D,Johnson,4.0,4.0,West Ham,0,0,0,0,0,0,0,0,0,0,0,0
M,Moutinho,5.0,5.0,Wolves,84,2.744,81,2.459,79,2.71,77,2.834,75,2.494,76,2.962
G,Patrício,5.0,5.0,Wolves,0,0,0,0,0,0,0,0,0,0,0,0
D,Boly,5.0,5.0,Wolves,17,0.573,43,1.045,64,2.359,59,2.352,65,2.025,64,2.688
D,Coady,4.5,4.5,Wolves,87,2.709,86,1.915,82,2.828,81,2.979,79,2.295,81,3.152
F,Jiménez,7.5,7.5,Wolves,84,4.082,82,3.595,80,4.09,78,4.483,76,3.799,75,4.527
D,Saïss,5.0,5.0,Wolves,62,2.135,55,1.368,48,1.846,50,2.108,47,1.532,49,2.194
D,Marçal,4.5,4.5,Wolves,76,2.519,75,1.786,75,2.77,74,2.972,72,2.226,73,3.113
D,Jonny,4.5,4.5,Wolves,0,0,0,0,0,0,0,0,0,0,0,0
M,Dendoncker,5.0,5.0,Wolves,64,2.048,54,1.647,51,1.72,51,1.825,52,1.709,52,1.942
M,Traoré,6.0,6.0,Wolves,87,3.184,82,2.784,81,3.122,80,3.377,78,2.948,77,3.431
M,Neves,5.5,5.5,Wolves,85,2.746,81,2.44,79,2.662,79,2.861,77,2.533,76,3.038
D,Semedo,5.0,5.0,Wolves,86,2.907,81,1.975,81,3.025,81,3.29,79,2.49,78,3.355
M,Podence,5.5,5.5,Wolves,0,0,0,0,0,0,0,0,0,0,0,0
D,Kilman,4.5,4.5,Wolves,20,0.664,19,0.465,14,0.518,14,0.561,17,0.536,17,0.723
M,Gibbs-White,4.5,4.5,Wolves,22,0.878,24,0.89,25,1.023,27,1.191,27,1.086,25,1.158
M,Neto,6.5,6.5,Wolves,0,0,0,0,0,0,0,0,0,0,0,0
M,Otasowie,4.5,4.5,Wolves,2,0.064,2,0.062,3,0.099,2,0.068,3,0.097,3,0.104
D,Hoever,4.0,4.0,Wolves,3,0.099,5,0.122,5,0.18,5,0.193,8,0.246,8,0.325
G,Söndergaard,4.0,4.0,Wolves,0,0,0,0,0,0,0,0,0,0,0,0
F,Fabio Silva,6.0,6.0,Wolves,17,0.824,22,0.909,26,1.184,26,1.289,30,1.354,32,1.658
D,Mosquera,4.5,4.5,Wolves,3,0.098,6,0.145,7,0.253,8,0.309,8,0.246,9,0.368
F,Welbeck,6.0,6.0,Brighton,0,0,0,0,23,1.009,42,1.86,57,2.543,56,2.543
G,Gunn,4.0,4.0,Norwich,0,0,0,0,1,0.036,1,0.043,0,0,2,0.079
M,Rashica,5.5,5.5,Norwich,63,1.927,62,2.439,65,2.349,60,2.888,59,2.23,60,2.477
F,Dennis,5.0,5.0,Watford,27,1.088,50,1.847,54,2.475,52,2.355,51,2.562,43,1.853
D,Collins,4.5,4.5,Burnley,0,0,6,0.181,0,0,0,0,1,0.023,14,0.61
G,Ruddy,4.5,4.5,Wolves,0,0,1,0.037,1,0.043,2,0.086,3,0.118,2,0.088
M,Fernandinho,5.0,5.0,Man City,9,0.374,5,0.188,6,0.206,6,0.24,7,0.22,7,0.223
D,Pollock,4.0,4.0,Watford,0,0,0,0,0,0,0,0,0,0,0,0
F,Daka,7.4,7.4,Leicester,2,0.104,4,0.232,4,0.18,6,0.303,7,0.427,4,0.224
D,Gibson,4.5,4.5,Norwich,78,0.749,75,1.839,74,1.424,76,2.907,73,1.631,74,2.226
D,Giannoulis,4.5,4.5,Norwich,88,0.903,86,2.223,84,1.705,82,3.305,82,1.929,81,2.556
M,Soumaré,5.0,5.0,Leicester,8,0.258,10,0.351,11,0.34,11,0.364,12,0.443,12,0.419
M,Mata,5.0,5.0,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
D,Perraud,5.0,5.0,Southampton,88,2.218,84,3.127,81,2.9,82,1.099,80,3.564,79,1.344
M,Trincão,6.0,6.0,Wolves,74,3.234,72,2.845,70,3.254,70,3.583,69,3.113,67,3.645
M,Mwepu,6.0,6.0,Brighton,70,2.552,73,2.438,56,1.862,42,1.413,34,1.198,38,1.321
D,Firpo,5.0,5.0,Leeds,51,1.942,49,1.937,51,1.206,45,1.667,46,1.707,47,2.344
M,Olise,5.5,5.5,Crystal Palace,0,0,0,0,16,0.583,32,1.004,44,1.687,46,1.687
D,Fernández,4.5,4.5,Newcastle,82,2.016,82,2.597,80,1.079,77,2.126,76,2.36,76,2.123
D,Tavares,4.5,4.5,Arsenal,1,0.028,2,0.038,2,0.095,3,0.122,3,0.106,4,0.137
M,Etebo,4.5,4.5,Watford,57,1.709,54,1.53,54,1.832,55,1.816,52,1.853,52,1.612
F,King,5.5,5.5,Watford,45,1.797,59,2.229,60,2.884,58,2.762,62,3.281,59,2.626
F,Mebude,4.5,4.5,Watford,0,0,0,0,0,0,0,0,0,0,0,0
D,Ait Nouri,4.5,4.5,Wolves,14,0.473,16,0.423,16,0.635,17,0.732,18,0.607,17,0.776
M,Lees-Melou,5.0,5.0,Norwich,25,0.79,28,1.078,26,0.939,28,1.257,28,1.041,31,1.226
F,Cucho,5.0,5.0,Watford,25,0.999,25,0.951,24,1.126,24,1.104,25,1.272,22,0.957
D,Bertrand,5.0,5.0,Leicester,0,0,0,0,2,0.055,2,0.074,1,0.05,2,0.088
D,Ward,4.5,4.5,Crystal Palace,83,2.977,82,1.894,80,2.191,80,1.048,78,2.666,79,2.146
G,Sá,5.0,5.0,Wolves,89,3.613,88,3.23,87,3.7,87,3.75,86,3.392,86,3.769
G,Scherpen,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
D,Guéhi,4.5,4.5,Crystal Palace,77,2.784,74,1.738,74,2.049,76,1.028,73,2.521,71,1.961
M,Sambi Lokonga,5.0,5.0,Arsenal,76,2.038,61,1.59,32,1.198,30,1.005,34,1.097,31,0.98
M,Onyeka,5.0,5.0,Brentford,4,0.14,6,0.21,10,0.357,9,0.311,8,0.258,10,0.335
G,Hennessey,4.5,4.5,Burnley,0,0,1,0.039,1,0.038,2,0.078,2,0.073,3,0.135
G,Begović,4.0,4.0,Everton,0,0,0,0,1,0.047,2,0.078,3,0.138,3,0.108
M,Townsend,5.5,5.5,Everton,67,2.635,66,2.44,66,3.012,65,2.535,65,3.122,65,2.173
D,Ajer,4.5,4.5,Brentford,75,2.795,72,1.979,73,2.683,72,2.304,70,1.494,72,1.792
M,Gray,5.5,5.5,Everton,32,1.383,30,1.214,31,1.519,32,1.365,33,1.708,31,1.131
M,Sancho,9.5,9.5,Man Utd,52,2.994,49,2.745,48,3.242,49,2.587,48,3.049,54,3.218
G,Gollini,4.5,4.5,Spurs,0,0,0,0,2,0.091,1,0.039,2,0.079,2,0.088
M,Bryan,6.0,6.0,Spurs,0,0,1,0.053,1,0.046,1,0.04,1,0.042,2,0.101
D,Andersen,4.5,4.5,Crystal Palace,18,0.685,22,0.549,27,0.78,24,0.354,24,0.864,26,0.745
G,Areola,5.0,5.0,West Ham,3,0.119,6,0.28,5,0.202,6,0.226,6,0.227,5,0.217
G,Klaesson,4.5,4.5,Leeds,0,0,1,0.041,2,0.072,0,0,3,0.118,2,0.088
D,Livramento,4.0,4.0,Southampton,42,0.955,32,1.031,32,1.004,28,0.347,28,1.094,9,0.149
M,Bailey,6.5,6.5,Aston Villa,74,4.007,72,3.782,73,2.454,71,3.462,71,2.577,66,2.56
D,Clyne,4.5,4.5,Crystal Palace,0,0,2,0.05,0,0,0,0,0,0,4,0.116
D,Romero,5.0,5.0,Spurs,0,0,0,0,0,0,0,0,0,0,0,0
M,Kucka,5.5,5.5,Watford,52,1.636,43,1.282,41,1.491,45,1.587,43,1.647,40,1.325
M,Ramsey,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
M,Philogene-Bidace,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
D,Thompson,4.5,4.5,Brentford,0,0,0,0,0,0,0,0,1,0.022,0,0
M,Baptiste,5.0,5.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
F,Andone,5.0,5.0,Brighton,0,0,2,0.098,0,0,0,0,0,0,3,0.144
D,Sarr,5.0,5.0,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
D,Kenny,4.5,4.5,Everton,1,0.029,1,0.033,1,0.046,1,0.031,3,0.139,3,0.065
M,Gordon,4.5,4.5,Everton,2,0.086,2,0.079,2,0.095,3,0.125,3,0.15,4,0.146
M,Gbamin,4.5,4.5,Everton,2,0.065,4,0.128,5,0.18,5,0.163,6,0.221,6,0.181
M,Dewsbury-Hall,4.5,4.5,Leicester,0,0,0,0,0,0,0,0,0,0,0,0
M,Elliott,5.5,5.5,Liverpool,2,0.114,2,0.089,3,0.155,3,0.174,3,0.156,4,0.174
M,Palmer,4.5,4.5,Man City,0,0,0,0,0,0,0,0,0,0,0,0
M,Edozie,5.0,5.0,Man City,0,0,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.0,4.0,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
D,Dalot,4.5,4.5,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
M,Pereira,5.0,5.0,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
M,Elanga,5.0,5.0,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
G,Woodman,4.5,4.5,Newcastle,65,2.425,48,1.942,29,1.031,33,1.272,34,1.372,34,1.311
G,Gillespie,4.0,4.0,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0
D,Mumba,4.0,4.0,Norwich,0,0,2,0.051,0,0,0,0,0,0,2,0.061
F,Sargent,5.5,5.5,Norwich,0,0,0,0,0,0,0,0,0,0,0,0
M,Elyounoussi,5.5,5.5,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
F,Broja,5.0,5.0,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
F,Long,5.5,5.5,Southampton,2,0.09,4,0.211,6,0.314,5,0.194,5,0.266,6,0.232
F,Scarlett,4.5,4.5,Spurs,0,0,0,0,0,0,0,0,0,0,0,0
D,Alves,4.0,4.0,West Ham,0,0,0,0,0,0,0,0,0,0,0,0
M,Coventry,4.5,4.5,West Ham,0,0,0,0,0,0,0,0,0,0,0,0
F,Cutrone,5.0,5.0,Wolves,0,0,0,0,0,0,0,0,0,0,0,0
M,Wissa,6.0,6.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
F,A.Armstrong,6.0,6.0,Southampton,82,3.407,81,4.124,78,3.98,79,2.692,78,4.07,75,2.627
